mode,size_bytes,runs,mean_ms,median_ms,stddev_ms,ci95_low_ms,ci95_high_ms,throughput_mib_s
cbc,1024,30,0.0117817,0.001709,0.0548923,-0.00786127,0.0314247,82.8881
cbc,4096,30,0.0122429,0.0045045,0.0403853,-0.00220878,0.0266946,319.062
cbc,16384,30,0.0394864,0.024656,0.0776229,0.0117094,0.0672634,395.706
cbc,262144,30,0.430524,0.399196,0.0759456,0.403347,0.4577,580.688
cbc,1048576,30,1.90457,1.85346,0.172147,1.84297,1.96617,525.053
cbc,8388608,30,17.7932,17.0436,3.17216,16.6581,18.9284,449.61
ctr,1024,30,0.0108396,0.001139,0.0528197,-0.0080617,0.0297409,90.0921
ctr,4096,30,0.0101435,0.0023185,0.0426043,-0.00510226,0.0253893,385.099
ctr,16384,30,0.0130626,0.007165,0.0312461,0.00188134,0.0242439,1196.16
ctr,262144,30,0.379749,0.356062,0.0765287,0.352363,0.407134,658.33
ctr,1048576,30,1.69422,1.72238,0.401662,1.55049,1.83796,590.241
ctr,8388608,30,13.2926,11.836,3.30348,12.1104,14.4747,601.841
gcm,1024,30,0.00257837,0.001201,0.00722872,-8.39777e-06,0.00516513,378.752
gcm,4096,30,0.00489273,0.0033665,0.00838237,0.00189314,0.00789233,798.378
gcm,16384,30,0.0179728,0.012819,0.0296767,0.0073531,0.0285924,869.371
gcm,262144,30,0.501527,0.488884,0.0932816,0.468147,0.534908,498.478
gcm,1048576,30,1.92578,1.98732,0.57544,1.71987,2.1317,519.269
gcm,8388608,30,13.9687,12.8942,2.53589,13.0613,14.8762,572.707
ccm,1024,30,0.00949297,0.001883,0.0399246,-0.00479387,0.0237798,102.872
ccm,4096,30,0.0186852,0.006367,0.0658149,-0.00486634,0.0422368,209.055
ccm,16384,30,0.0329392,0.022311,0.0564279,0.0127468,0.0531317,474.358
ccm,262144,30,0.601659,0.565526,0.134284,0.553606,0.649712,415.518
ccm,1048576,30,3.04512,2.94964,0.664527,2.80732,3.28292,328.394
ccm,8388608,30,20.6907,19.6471,2.80206,19.688,21.6934,386.648
